date,channel,spend,impressions,clicks,conversions
2/1/2025,Social,171,8132,229,14
2/2/2025,Social,170,8763,266,16
2/3/2025,Social,189,9947,279,21
2/4/2025,Social,188,11533,313,24
2/5/2025,Social,188,11507,325,22
2/6/2025,Social,205,12143,314,21
2/7/2025,Social,203,11450,328,21
2/8/2025,Social,202,10567,293,18
2/9/2025,Social,234,11245,302,23
2/10/2025,Social,223,12100,276,22
2/11/2025,Social,229,13763,318,27
2/12/2025,Social,249,14281,333,21
2/13/2025,Social,251,13865,332,26
2/14/2025,Social,259,14030,319,21
2/15/2025,Social,235,12685,290,19
2/16/2025,Social,270,12905,308,24
2/17/2025,Social,247,14129,341,23
2/18/2025,Social,260,15402,372,28
2/19/2025,Social,259,16516,446,31
2/20/2025,Social,270,17364,441,37
2/21/2025,Social,282,15571,429,37
