date,channel,spend,impressions,clicks,conversions
2/1/2025,Search,230,11418,529,51
2/2/2025,Search,238,11352,491,53
2/3/2025,Search,243,12139,566,53
2/4/2025,Search,226,13456,688,71
2/5/2025,Search,264,13483,650,55
2/6/2025,Search,270,13933,715,70
2/7/2025,Search,267,13336,631,60
2/8/2025,Search,274,14040,698,70
2/9/2025,Search,269,14293,634,57
2/10/2025,Search,267,16172,758,66
2/11/2025,Search,303,17881,752,73
2/12/2025,Search,284,17296,775,66
2/13/2025,Search,298,18800,767,65
2/14/2025,Search,324,17691,736,67
2/15/2025,Search,301,16436,665,53
2/16/2025,Search,310,17627,753,65
2/17/2025,Search,322,18467,771,77
2/18/2025,Search,353,20955,896,94
2/19/2025,Search,329,20580,852,91
2/20/2025,Search,358,20123,943,93
2/21/2025,Search,376,19152,833,70
