date,channel,spend,impressions,clicks,conversions
2/1/2025,Display,151,13660,148,9
2/2/2025,Display,156,14490,182,8
2/3/2025,Display,160,15786,188,8
2/4/2025,Display,154,18509,245,14
2/5/2025,Display,147,19094,275,15
2/6/2025,Display,172,20566,294,16
2/7/2025,Display,158,19788,283,13
2/8/2025,Display,162,19034,281,16
2/9/2025,Display,162,18451,249,15
2/10/2025,Display,173,20264,264,15
2/11/2025,Display,174,22703,320,19
2/12/2025,Display,196,23821,298,13
2/13/2025,Display,185,22704,286,12
2/14/2025,Display,186,22496,279,11
2/15/2025,Display,195,23190,319,14
2/16/2025,Display,193,22876,297,17
2/17/2025,Display,194,23954,269,14
2/18/2025,Display,205,26539,288,13
2/19/2025,Display,202,27153,318,19
2/20/2025,Display,223,26171,254,11
2/21/2025,Display,211,24660,233,12
